point_time,value
2026-07-20 07:40:00+00:00,897.5
2026-07-20 07:45:00+00:00,884.3
2026-07-20 07:50:00+00:00,880.9
2026-07-20 07:55:00+00:00,858.1
2026-07-20 08:00:00+00:00,862.4
2026-07-20 08:05:00+00:00,865.3
2026-07-20 08:10:00+00:00,878.9
2026-07-20 08:15:00+00:00,979.6
2026-07-20 08:20:00+00:00,997.5
2026-07-20 08:25:00+00:00,992.5
2026-07-20 08:30:00+00:00,980.5
2026-07-20 08:35:00+00:00,997.1
2026-07-20 08:40:00+00:00,964.7
2026-07-20 08:45:00+00:00,948.7
2026-07-20 08:50:00+00:00,948.6
2026-07-20 08:55:00+00:00,928.0
2026-07-20 09:00:00+00:00,979.6
2026-07-20 09:05:00+00:00,981.2
2026-07-20 09:10:00+00:00,980.9
2026-07-20 09:15:00+00:00,982.8
2026-07-20 09:20:00+00:00,987.4
2026-07-20 09:25:00+00:00,988.1
2026-07-20 09:30:00+00:00,999.8
2026-07-20 09:35:00+00:00,1001.6
2026-07-20 09:40:00+00:00,1001.5
2026-07-20 09:45:00+00:00,1003.8
2026-07-20 09:50:00+00:00,1001.4
2026-07-20 09:55:00+00:00,1001.7
2026-07-20 10:00:00+00:00,994.2
2026-07-20 10:05:00+00:00,986.2
2026-07-20 10:10:00+00:00,991.2
2026-07-20 10:15:00+00:00,964.5
2026-07-20 10:20:00+00:00,957.0
2026-07-20 10:25:00+00:00,956.6
2026-07-20 10:30:00+00:00,975.6
2026-07-20 10:35:00+00:00,975.5
2026-07-20 10:40:00+00:00,975.7
2026-07-20 10:45:00+00:00,973.7
2026-07-20 10:50:00+00:00,959.8
2026-07-20 10:55:00+00:00,971.3
2026-07-20 11:00:00+00:00,973.2
2026-07-20 11:05:00+00:00,973.7
2026-07-20 11:10:00+00:00,972.6
2026-07-20 11:15:00+00:00,972.3
2026-07-20 11:20:00+00:00,971.2
2026-07-20 11:25:00+00:00,991.1
2026-07-20 11:30:00+00:00,993.2
2026-07-20 11:35:00+00:00,993.5
2026-07-20 11:40:00+00:00,996.3
2026-07-20 11:45:00+00:00,998.6
2026-07-20 11:50:00+00:00,998.7
2026-07-20 11:55:00+00:00,1024.7
2026-07-20 12:00:00+00:00,1018.1
2026-07-20 12:05:00+00:00,1021.4
2026-07-20 12:10:00+00:00,1020.9
2026-07-20 12:15:00+00:00,995.9
2026-07-20 12:20:00+00:00,1002.1
2026-07-20 12:25:00+00:00,1004.7
2026-07-20 12:30:00+00:00,1011.9
2026-07-20 12:35:00+00:00,1010.1
2026-07-20 12:40:00+00:00,1008.8
2026-07-20 12:45:00+00:00,1014.2
2026-07-20 12:50:00+00:00,1014.2
2026-07-20 12:55:00+00:00,1010.7
2026-07-20 13:00:00+00:00,1013.4
2026-07-20 13:05:00+00:00,1012.3
2026-07-20 13:10:00+00:00,1013.6
2026-07-20 13:15:00+00:00,1017.8
2026-07-20 13:20:00+00:00,1004.9
2026-07-20 13:25:00+00:00,1003.9
2026-07-20 13:30:00+00:00,1002.1
2026-07-20 13:35:00+00:00,1001.7
2026-07-20 13:40:00+00:00,1016.3
2026-07-20 13:45:00+00:00,1016.8
2026-07-20 13:50:00+00:00,1017.5
2026-07-20 13:55:00+00:00,1019.8
2026-07-20 14:00:00+00:00,1023.9
2026-07-20 14:05:00+00:00,1021.8
2026-07-20 14:10:00+00:00,1038.5
2026-07-20 14:15:00+00:00,1035.6
2026-07-20 14:20:00+00:00,1028.6
2026-07-20 14:25:00+00:00,1019.8
2026-07-20 14:30:00+00:00,998.2
2026-07-20 14:35:00+00:00,997.2
2026-07-20 14:40:00+00:00,991.5
2026-07-20 14:45:00+00:00,991.8
2026-07-20 14:50:00+00:00,997.9
2026-07-20 14:55:00+00:00,996.8
2026-07-20 15:00:00+00:00,1002.1
2026-07-20 15:05:00+00:00,1007.3
2026-07-20 15:10:00+00:00,1006.5
2026-07-20 15:15:00+00:00,1005.5
2026-07-20 15:20:00+00:00,1012.5
2026-07-20 15:25:00+00:00,1017.3
2026-07-20 15:30:00+00:00,1016.5
2026-07-20 15:35:00+00:00,1016.5
2026-07-20 15:40:00+00:00,1020.2
2026-07-20 15:45:00+00:00,1022.7
2026-07-20 15:50:00+00:00,1018.0
2026-07-20 15:55:00+00:00,1014.9
2026-07-20 16:00:00+00:00,1017.0
2026-07-20 16:05:00+00:00,1014.5
2026-07-20 16:10:00+00:00,989.6
2026-07-20 16:15:00+00:00,993.9
2026-07-20 16:20:00+00:00,987.7
2026-07-20 16:25:00+00:00,989.2
2026-07-20 16:30:00+00:00,1004.7
2026-07-20 16:35:00+00:00,1005.3
2026-07-20 16:40:00+00:00,1007.8
2026-07-20 16:45:00+00:00,1005.4
2026-07-20 16:50:00+00:00,1009.9
2026-07-20 16:55:00+00:00,1009.1
2026-07-20 17:00:00+00:00,1016.1
2026-07-20 17:05:00+00:00,1006.9
2026-07-20 17:10:00+00:00,1012.9
2026-07-20 17:15:00+00:00,1003.4
2026-07-20 17:20:00+00:00,0.0
2026-07-20 17:25:00+00:00,0.0
2026-07-20 17:30:00+00:00,0.0
2026-07-20 17:35:00+00:00,0.0
2026-07-20 17:40:00+00:00,0.0
2026-07-20 17:45:00+00:00,0.0
2026-07-20 17:50:00+00:00,0.0
2026-07-20 17:55:00+00:00,0.0
2026-07-20 18:00:00+00:00,0.0
2026-07-20 18:05:00+00:00,0.0
2026-07-20 18:10:00+00:00,967.3
2026-07-20 18:15:00+00:00,0.0
2026-07-20 18:20:00+00:00,974.2
2026-07-20 18:25:00+00:00,974.1
2026-07-20 18:30:00+00:00,972.5
2026-07-20 18:35:00+00:00,976.8
2026-07-20 18:40:00+00:00,0.0
2026-07-20 18:45:00+00:00,0.0
2026-07-20 18:50:00+00:00,0.0
2026-07-20 18:55:00+00:00,984.4
2026-07-20 19:00:00+00:00,0.0
2026-07-20 19:05:00+00:00,0.0
2026-07-20 19:10:00+00:00,0.0
2026-07-20 19:15:00+00:00,0.0
2026-07-20 19:20:00+00:00,987.7
2026-07-20 19:25:00+00:00,0.0
2026-07-20 19:30:00+00:00,988.0
2026-07-20 19:35:00+00:00,988.2
2026-07-20 19:40:00+00:00,987.8
2026-07-20 19:45:00+00:00,0.0
2026-07-20 19:50:00+00:00,0.0
2026-07-20 19:55:00+00:00,0.0
2026-07-20 20:00:00+00:00,0.0
2026-07-20 20:05:00+00:00,0.0
2026-07-20 20:10:00+00:00,0.0
2026-07-20 20:15:00+00:00,0.0
2026-07-20 20:20:00+00:00,0.0
2026-07-20 20:25:00+00:00,1008.3
2026-07-20 20:30:00+00:00,0.0
2026-07-20 20:35:00+00:00,0.0
2026-07-20 20:40:00+00:00,0.0
2026-07-20 20:45:00+00:00,0.0
2026-07-20 20:50:00+00:00,0.0
2026-07-20 20:55:00+00:00,0.0
2026-07-20 21:00:00+00:00,0.0
2026-07-20 21:05:00+00:00,0.0
2026-07-20 21:10:00+00:00,0.0
2026-07-20 21:15:00+00:00,0.0
2026-07-20 21:20:00+00:00,0.0
2026-07-20 21:25:00+00:00,0.0
2026-07-20 21:30:00+00:00,0.0
2026-07-20 21:35:00+00:00,0.0
2026-07-20 21:40:00+00:00,0.0
2026-07-20 21:45:00+00:00,0.0
2026-07-20 21:50:00+00:00,987.1
2026-07-20 21:55:00+00:00,993.0
2026-07-20 22:00:00+00:00,988.6
2026-07-20 22:05:00+00:00,989.2
2026-07-20 22:10:00+00:00,1001.1
2026-07-20 22:15:00+00:00,995.1
2026-07-20 22:20:00+00:00,992.6
2026-07-20 22:25:00+00:00,992.8
2026-07-20 22:30:00+00:00,994.6
2026-07-20 22:35:00+00:00,995.3
2026-07-20 22:40:00+00:00,992.9
2026-07-20 22:45:00+00:00,992.8
2026-07-20 22:50:00+00:00,1024.8
2026-07-20 22:55:00+00:00,1016.0
2026-07-20 23:00:00+00:00,1002.1
2026-07-20 23:05:00+00:00,1017.4
2026-07-20 23:10:00+00:00,1031.3
2026-07-20 23:15:00+00:00,0.0
2026-07-20 23:20:00+00:00,0.0
2026-07-20 23:25:00+00:00,0.0
2026-07-20 23:30:00+00:00,1028.7
2026-07-20 23:35:00+00:00,1031.8
2026-07-20 23:40:00+00:00,1034.7
2026-07-20 23:45:00+00:00,1031.3
2026-07-20 23:50:00+00:00,1021.5
2026-07-20 23:55:00+00:00,1011.5
2026-07-21 00:00:00+00:00,929.0
2026-07-21 00:05:00+00:00,928.9
2026-07-21 00:10:00+00:00,929.1
2026-07-21 00:15:00+00:00,929.3
2026-07-21 00:20:00+00:00,937.2
2026-07-21 00:25:00+00:00,936.6
2026-07-21 00:30:00+00:00,945.6
2026-07-21 00:35:00+00:00,947.8
2026-07-21 00:40:00+00:00,949.9
2026-07-21 00:45:00+00:00,948.8
2026-07-21 00:50:00+00:00,958.2
2026-07-21 00:55:00+00:00,0.0
2026-07-21 01:00:00+00:00,935.9
2026-07-21 01:05:00+00:00,935.9
2026-07-21 01:10:00+00:00,929.3
2026-07-21 01:15:00+00:00,929.3
2026-07-21 01:20:00+00:00,935.8
2026-07-21 01:25:00+00:00,941.3
2026-07-21 01:30:00+00:00,939.1
2026-07-21 01:35:00+00:00,946.3
2026-07-21 01:40:00+00:00,946.3
2026-07-21 01:45:00+00:00,950.3
2026-07-21 01:50:00+00:00,952.6
2026-07-21 01:55:00+00:00,952.6
2026-07-21 02:00:00+00:00,947.4
2026-07-21 02:05:00+00:00,947.2
2026-07-21 02:10:00+00:00,947.2
2026-07-21 02:15:00+00:00,943.4
2026-07-21 02:20:00+00:00,948.0
2026-07-21 02:25:00+00:00,947.9
2026-07-21 02:30:00+00:00,950.9
2026-07-21 02:35:00+00:00,950.9
2026-07-21 02:40:00+00:00,952.7
2026-07-21 02:45:00+00:00,952.7
2026-07-21 02:50:00+00:00,947.8
2026-07-21 02:55:00+00:00,939.1
2026-07-21 03:00:00+00:00,939.4
2026-07-21 03:05:00+00:00,914.4
2026-07-21 03:10:00+00:00,928.5
2026-07-21 03:15:00+00:00,928.5
2026-07-21 03:20:00+00:00,914.0
2026-07-21 03:25:00+00:00,926.6
2026-07-21 03:30:00+00:00,928.4
2026-07-21 03:35:00+00:00,928.3
2026-07-21 03:40:00+00:00,928.4
2026-07-21 03:45:00+00:00,928.3
2026-07-21 03:50:00+00:00,928.5
2026-07-21 03:55:00+00:00,928.6
2026-07-21 04:00:00+00:00,928.5
2026-07-21 04:05:00+00:00,928.8
2026-07-21 04:10:00+00:00,933.7
2026-07-21 04:15:00+00:00,928.0
2026-07-21 04:20:00+00:00,928.7
2026-07-21 04:25:00+00:00,928.5
2026-07-21 04:30:00+00:00,923.9
2026-07-21 04:35:00+00:00,925.8
2026-07-21 04:40:00+00:00,918.1
2026-07-21 04:45:00+00:00,925.6
2026-07-21 04:50:00+00:00,925.0
2026-07-21 04:55:00+00:00,925.0
2026-07-21 05:00:00+00:00,956.0
2026-07-21 05:05:00+00:00,955.8
2026-07-21 05:10:00+00:00,959.0
2026-07-21 05:15:00+00:00,946.8
2026-07-21 05:20:00+00:00,942.0
2026-07-21 05:25:00+00:00,942.1
2026-07-21 05:30:00+00:00,941.8
2026-07-21 05:35:00+00:00,942.0
2026-07-21 05:40:00+00:00,941.1
2026-07-21 05:45:00+00:00,939.1
2026-07-21 05:50:00+00:00,905.4
2026-07-21 05:55:00+00:00,892.9
2026-07-21 06:00:00+00:00,926.0
2026-07-21 06:05:00+00:00,940.1
2026-07-21 06:10:00+00:00,929.1
2026-07-21 06:15:00+00:00,923.6
2026-07-21 06:20:00+00:00,902.6
2026-07-21 06:25:00+00:00,902.3
2026-07-21 06:30:00+00:00,902.5
2026-07-21 06:35:00+00:00,899.1
2026-07-21 06:40:00+00:00,910.6
2026-07-21 06:45:00+00:00,918.3
2026-07-21 06:50:00+00:00,889.9
2026-07-21 06:55:00+00:00,893.0
2026-07-21 07:00:00+00:00,895.7
2026-07-21 07:05:00+00:00,902.9
2026-07-21 07:10:00+00:00,903.2
2026-07-21 07:15:00+00:00,902.8
2026-07-21 07:20:00+00:00,903.2
2026-07-21 07:25:00+00:00,903.2
